"Store Name","Product ID","Product Name",Vendor,UPI,"Product Category","Product Main Image URL","Primary Licensor"
"Shop aKDPhi",9191264452852,"Friendship Crop Tee","Shop aKDPhi",UPI26061828525,"Shirts > Short sleeve t-shirts",https://cdn.shopify.com/s/files/1/0755/0412/4148/files/AKDP2501051010SOLIDNATURALBLEND_e0456b30-6e14-42b4-b3b4-30c49e0cc29d.jpg?v=1763834723,"alpha KAPPA DELTA PHI"
"Shop aKDPhi",9211746484468,"Ugly Knitted Sweater","SDT Boutique",UPI26061844689,"Apparel > Sweaters",https://cdn.shopify.com/s/files/1/0755/0412/4148/files/Front_6681e907-b1fb-469d-a61e-60a4bddb0e04.jpg?v=1763058402,"alpha KAPPA DELTA PHI"
"Shop aKDPhi",9474614296820,"Noir Crewneck","Shop aKDPhi",UPI26061868205,"Sweatshirts > Crewneck sweatshirts",https://cdn.shopify.com/s/files/1/0755/0412/4148/files/AKDP26000118000BLACK_9bc34f03-f0de-4939-8ebb-8e049f396511.jpg?v=1779474695,"alpha KAPPA DELTA PHI"
"Shop aKDPhi",9474614460660,"Cherry Crewneck","Shop aKDPhi",UPI26061806606,"Sweatshirts > Crewneck sweatshirts",https://cdn.shopify.com/s/files/1/0755/0412/4148/files/AKDP26000218000NATURAL.jpg?v=1779473294,"alpha KAPPA DELTA PHI"
"Shop aKDPhi",9474617901300,"Love and Friendship Hoodie","Shop aKDPhi",UPI260618130011,"Sweatshirts > Hooded sweatshirts",https://cdn.shopify.com/s/files/1/0755/0412/4148/files/AKDP26000418500BLACKback.jpg?v=1779474042,"alpha KAPPA DELTA PHI"
"Shop aKDPhi",9474618687732,"Bottom Line Ivory Tee","Shop aKDPhi",UPI26061877328,"Shirts > Short sleeve t-shirts",https://cdn.shopify.com/s/files/1/0755/0412/4148/files/AKDP2600051717IVORYback.jpg?v=1779474273,"alpha KAPPA DELTA PHI"
"Shop aKDPhi",9474619212020,"aKDPhi White Hoodie","Shop aKDPhi",UPI26061820205,"Sweatshirts > Hooded sweatshirts",https://cdn.shopify.com/s/files/1/0755/0412/4148/files/AKDP26000718500WHITE.jpg?v=1779474561,"alpha KAPPA DELTA PHI"
"Shop aKDPhi",9474621604084,"aKDPhi Repeat Crewneck","Shop aKDPhi",UPI260618408410,"Sweatshirts > Crewneck sweatshirts",https://cdn.shopify.com/s/files/1/0755/0412/4148/files/AKDP26000618000BLACK.jpg?v=1779475194,"alpha KAPPA DELTA PHI"
"Shop aKDPhi",9474625274100,"aKDPhi Crewneck","Shop aKDPhi",UPI26061841005,"Sweatshirts > Crewneck sweatshirts",https://cdn.shopify.com/s/files/1/0755/0412/4148/files/AKDP26000818000BLACK.jpg?v=1779475954,"alpha KAPPA DELTA PHI"
"Shop aKDPhi",9474626027764,"Cherry Heart Crewneck","Shop aKDPhi",UPI26061877644,"Sweatshirts > Crewneck sweatshirts",https://cdn.shopify.com/s/files/1/0755/0412/4148/files/AKDP26000918000NATURAL.jpg?v=1779476068,"alpha KAPPA DELTA PHI"
"Shop aKDPhi",9474627567860,"Orchid Star Hoodie","Shop aKDPhi",UPI26061878606,"Sweatshirts > Hooded sweatshirts",https://cdn.shopify.com/s/files/1/0755/0412/4148/files/AKDP26001018500ORCHID.jpg?v=1779476249,"alpha KAPPA DELTA PHI"
"Shop aKDPhi",9474628616436,"By My Side Crewneck","Shop aKDPhi",UPI26061864363,"Sweatshirts > Crewneck sweatshirts",https://cdn.shopify.com/s/files/1/0755/0412/4148/files/AKDP26001118000WHITE.jpg?v=1779476362,"alpha KAPPA DELTA PHI"
"Shop aKDPhi",9474629894388,"Big Locket Crewneck","Shop aKDPhi",UPI26061843888,"Sweatshirts > Crewneck sweatshirts",https://cdn.shopify.com/s/files/1/0755/0412/4148/files/AKDP26001218000BLACK.jpg?v=1779476457,"alpha KAPPA DELTA PHI"
"Shop aKDPhi",9474630549748,"Little Locket Crewneck","Shop aKDPhi",UPI26061897481,"Sweatshirts > Crewneck sweatshirts",https://cdn.shopify.com/s/files/1/0755/0412/4148/files/AKDP26001318000BLACK.jpg?v=1779476511,"alpha KAPPA DELTA PHI"
"Shop aKDPhi",9474633203956,Cardigan,"Shop aKDPhi",UPI26061839566,"Apparel > Sweaters",https://cdn.shopify.com/s/files/1/0755/0412/4148/files/AKDP260014M425BLACK.jpg?v=1779476688,"alpha KAPPA DELTA PHI"
"Shop aKDPhi",9530496844020,"Graduation Stole","Shop aKDPhi",UPI2606294020,"Apparel > Stoles",https://cdn.shopify.com/s/files/1/0755/0412/4148/files/AKDPSTOLE2STOLE2.jpg?v=1782776803,"alpha KAPPA DELTA PHI"
