"Store Name","Product Name",Vendor,UPI,"Product Category","Product Main Image URL","Primary Licensor"
"DZ Dezigns","Simple Tee","DZ Dezigns",UPI2606189786,"Shirts > Short sleeve t-shirts",https://cdn.shopify.com/s/files/1/0052/8321/7498/files/DZ-simpletee-1_04cdbd51-0964-41dd-9403-0082a0fbcf10.jpg?v=1785898904,"DELTA ZETA"
"DZ Dezigns","Sleigh Tee","DZ Dezigns",UPI2606181866,"Shirts > Short sleeve t-shirts",https://cdn.shopify.com/s/files/1/0052/8321/7498/files/DZ-SleighTee1_f83406d6-8a70-4af7-b49b-a4f8e00261de.jpg?v=1785898906,"DELTA ZETA"
"DZ Dezigns","Slumber Tee","DZ Dezigns",UPI2606189034,"Shirts > Short sleeve t-shirts",https://cdn.shopify.com/s/files/1/0052/8321/7498/files/DZ-SlumberTee1_da78a7ff-e4de-46c7-bbe6-60b4d1293619.jpg?v=1785898909,"DELTA ZETA"
"DZ Dezigns","Smiley Flower Tee","DZ Dezigns",UPI2606181018,"Shirts > Short sleeve t-shirts",https://cdn.shopify.com/s/files/1/0052/8321/7498/files/DZ-SmileyFlower2_2d355ea7-a0e0-4515-86ec-6d1ebd5d6ae7.jpg?v=1785898911,"DELTA ZETA"
"DZ Dezigns","Stacked Tee","DZ Dezigns",UPI2606182378,"Shirts > Short sleeve t-shirts",https://cdn.shopify.com/s/files/1/0052/8321/7498/files/DZ-Stacked-Tee-2_4fe4d7f8-6795-4dab-a5fa-fc3270eaa658.jpg?v=1785898914,"DELTA ZETA"
"DZ Dezigns","Standard Crewneck","DZ Dezigns",UPI2606181674,"Sweatshirts > Crewneck sweatshirts",https://cdn.shopify.com/s/files/1/0052/8321/7498/files/DZ-StandardCrew-2g_5869917d-6d0d-493a-b218-82815ab60c74.jpg?v=1785898916,"DELTA ZETA"
"DZ Dezigns","Stone Age Tee","DZ Dezigns",UPI2606188474,"Shirts > Short sleeve t-shirts",https://cdn.shopify.com/s/files/1/0052/8321/7498/files/DZ-StoneAge-1_3c0a30a0-effc-48d1-b908-8dfb246ca66f.jpg?v=1785898919,"DELTA ZETA"
"DZ Dezigns","Summer Tee","DZ Dezigns",UPI2606187498,"Shirts > Short sleeve t-shirts",https://cdn.shopify.com/s/files/1/0052/8321/7498/files/DZ-SummerTee2_cd9783c6-9035-4970-af19-eb6876067f44.jpg?v=1785898921,"DELTA ZETA"
"DZ Dezigns","Sweetheart Tee","DZ Dezigns",UPI2606185546,"Shirts > Short sleeve t-shirts",https://cdn.shopify.com/s/files/1/0052/8321/7498/files/DZ-Sweetheart2_c6ce478e-d7a4-4286-8d54-5f40ca3a9fda.jpg?v=1785898923,"DELTA ZETA"
"DZ Dezigns","Rainbow Crewneck","DZ Dezigns",UPI2606187066,"Sweatshirts > Crewneck sweatshirts",https://cdn.shopify.com/s/files/1/0052/8321/7498/files/DZ-TeamPrideCrew3_8e4c95e9-0ebd-43ce-954e-bdae2cf43b90.jpg?v=1785898925,"DELTA ZETA"
"DZ Dezigns","Technicolor Crewneck","DZ Dezigns",UPI2606184570,"Sweatshirts > Crewneck sweatshirts",https://cdn.shopify.com/s/files/1/0052/8321/7498/files/DZ-TechnicolorCrew-1_2a35c267-536b-4302-94b2-94ad2efb74c9.jpg?v=1785898928,"DELTA ZETA"
"DZ Dezigns","Tie Dye Palms","DZ Dezigns",UPI26061803781,"Shirts > Short sleeve t-shirts",https://cdn.shopify.com/s/files/1/0052/8321/7498/files/DZ-TieDyePalms-1_1803927d-3aa8-4805-a8aa-c8b0c0ed3d32.jpg?v=1785898930,"DELTA ZETA"
"DZ Dezigns","Tie Dye Script Tee","DZ Dezigns",UPI2606182170,"Shirts > Short sleeve t-shirts",https://cdn.shopify.com/s/files/1/0052/8321/7498/files/DZ-TieDyeScript-1_71350735-7893-4b50-bc24-f572c88b0211.jpg?v=1785898932,"DELTA ZETA"
"DZ Dezigns","Totally Tee","DZ Dezigns",UPI2606186218,"Shirts > Short sleeve t-shirts",https://cdn.shopify.com/s/files/1/0052/8321/7498/files/DZ-Totally1_710d6541-fb97-4382-82f1-d0badefb725d.jpg?v=1785898934,"DELTA ZETA"
"DZ Dezigns","Wavy Tee","DZ Dezigns",UPI2606183274,"Shirts > Short sleeve t-shirts",https://cdn.shopify.com/s/files/1/0052/8321/7498/files/DZ-TurntTee-1_61446ac7-b599-465c-801e-a59545f343b6.jpg?v=1785898937,"DELTA ZETA"
"DZ Dezigns","Van Tee","DZ Dezigns",UPI2606184266,"Shirts > Short sleeve t-shirts",https://cdn.shopify.com/s/files/1/0052/8321/7498/files/DZ-VanTee1_181de63e-c961-4e23-93cd-74b8b49ee30f.jpg?v=1785898939,"DELTA ZETA"
"DZ Dezigns","Varsity Tee","DZ Dezigns",UPI2606186682,"Shirts > Short sleeve t-shirts",https://cdn.shopify.com/s/files/1/0052/8321/7498/files/DZ-VarsityTee2_db1e6802-42d8-4be4-9aaa-9cef15d077f8.jpg?v=1785898941,"DELTA ZETA"
