"Store Name","Product Name",UPI,"Product Category","Product Main Image URL","Primary Licensor"
"The Social Life","NON Theta Date Racerback",UPI2606183349,"Shirts > Tank tops",https://cdn.shopify.com/s/files/1/0177/9186/products/Shop_ThetaDate-NOO-girls.jpg?v=1571438566,"Kappa Alpha Theta"
"The Social Life","Theta Date Racerback",UPI2606184101,"Shirts > Tank tops",https://cdn.shopify.com/s/files/1/0177/9186/products/Shop_ThetaDate-girls.jpg?v=1571438566,"Kappa Alpha Theta"
"The Social Life","DG - Woke Up Tank",UPI2606184477,"Shirts > Tank tops",https://cdn.shopify.com/s/files/1/0177/9186/products/Shop_DGflawless-1.jpg?v=1571438566,"Delta Gamma"
"The Social Life","DG - Woke Up Flawless",UPI2606181101,"Shirts > Short sleeve t-shirts",https://cdn.shopify.com/s/files/1/0177/9186/products/Shop_DGflawless-1_16ac3350-c40b-4ec9-a252-50d3bd61a77d.jpg?v=1571438566,"Delta Gamma"
"The Social Life","Roll Wave Flowy Racer Tank",UPI2606182985,"Shirts > Tank tops",https://cdn.shopify.com/s/files/1/0177/9186/products/Shop_piphi-tulane1.jpg?v=1571438566,Various
"The Social Life","Just Cure It Tee",UPI26061821211,"Shirts > Short sleeve t-shirts",https://cdn.shopify.com/s/files/1/0177/9186/products/Shop_Cure-tee.jpg?v=1571438566,Various
"The Social Life","Just Cure It V-neck",UPI2606182965,"Shirts > Short sleeve t-shirts",https://cdn.shopify.com/s/files/1/0177/9186/products/Shop_Cure-Vneck.jpg?v=1571438566,Various
"The Social Life","Just Cure It Crewneck",UPI26061848411,"Sweatshirts > Crewneck sweatshirts",https://cdn.shopify.com/s/files/1/0177/9186/products/Shop_Cure-sweatshirt.jpg?v=1571438566,Various
"The Social Life","AXO Charcoal Heather Quarter Zip",UPI2606181261,"Sweatshirts > 1/4 zip sweatshirts",https://cdn.shopify.com/s/files/1/0177/9186/products/Shop_AXOQuarterzip-back.jpg?v=1571438566,"Alpha Chi Omega"
"The Social Life","Spring Break Muscle Tee",UPI2606184225,"Shirts > Tank tops",https://cdn.shopify.com/s/files/1/0177/9186/products/Shop_greenjuice.jpg?v=1571438566,Various
"The Social Life","Hera Day Lyre V-Neck",UPI2606186829,"Shirts > Short sleeve t-shirts",https://cdn.shopify.com/s/files/1/0177/9186/products/Shop_AXOLyreDay-back.jpg?v=1571438566,Various
"The Social Life","Hera Day Lyre V-Neck",UPI2606184001,"Shirts > Short sleeve t-shirts",https://cdn.shopify.com/s/files/1/0177/9186/products/Shop_AXOLyreDay-front.jpg?v=1571438566,Various
"The Social Life","Do Good V-Neck",UPI2606180481,"Shirts > Short sleeve t-shirts",https://cdn.shopify.com/s/files/1/0177/9186/products/Shop_DGdogood-1.jpg?v=1571438566,Various
"The Social Life","DG Love HP Simple Tee",UPI2606184529,"Shirts > Short sleeve t-shirts",https://cdn.shopify.com/s/files/1/0177/9186/products/Shop_DGxHP.jpg?v=1571438566,"Delta Gamma"
"The Social Life","Theta Republic - Flowy Vneck",UPI26061861535,"Shirts > Short sleeve t-shirts",https://cdn.shopify.com/s/files/1/0177/9186/products/ThetaRepublic-1.jpg?v=1571438566,"Kappa Alpha Theta"
"The Social Life","UCI Theta Republic - Flowy Vneck",UPI2606181985,"Shirts > Short sleeve t-shirts",https://cdn.shopify.com/s/files/1/0177/9186/products/ThetaRepublic-1_c38299c2-bbcd-4343-a8b9-f02a3200eca4.jpg?v=1571438566,"Kappa Alpha Theta"
"The Social Life","Aphi CaboBandz!",UPI2606180377,"Hair accessories > Headbands",https://cdn.shopify.com/s/files/1/0177/9186/products/CBZ-RT-aphi-1.jpg?v=1571438566,"Alpha Phi"
"The Social Life","Theta CaboBandz!",UPI2606181473,"Sports > Wristbands",https://cdn.shopify.com/s/files/1/0177/9186/products/CBZ-RT-KAO-1.jpg?v=1571438567,"Kappa Alpha Theta"
"The Social Life","AXO CaboBandz!",UPI2606181869,"Sports > Wristbands",https://cdn.shopify.com/s/files/1/0177/9186/products/CBZ-RT-AXO-1.jpg?v=1571438567,"Alpha Chi Omega"
"The Social Life","DG CaboBandz!",UPI2606182237,"Sports > Wristbands",https://cdn.shopify.com/s/files/1/0177/9186/products/CBZ-RT-DG-1.jpg?v=1571438567,"Delta Gamma"
