"Store Name","Product Name",Vendor,UPI,"Product Category","Product Main Image URL","Primary Licensor"
"Shop aKDPhi",test,"Shop aKDPhi",UPI26061865804,"Promotional > Tokens",,"ALPHA KAPPA DELTA PHI"
"Shop aKDPhi","Alpha Kappa Delta Phi Bow Knitted crew neck sweater","Shop aKDPhi",UPI260618971612,"Apparel > Sweaters",https://cdn.shopify.com/s/files/1/0755/0412/4148/files/Front.jpg?v=1759417181,"ALPHA KAPPA DELTA PHI"
"Shop aKDPhi","Lucky To Be Hoodie","Shop aKDPhi",UPI26061884689,"Sweatshirts > Hooded sweatshirts",https://cdn.shopify.com/s/files/1/0755/0412/4148/files/AKDP25010118500ORCHIDback_10a13166-d4b4-4608-84f9-01ca40ad81ee.jpg?v=1763834761,"ALPHA KAPPA DELTA PHI"
"Shop aKDPhi","Unique Crewneck","Shop aKDPhi",UPI26061849008,"Sweatshirts > Crewneck sweatshirts",https://cdn.shopify.com/s/files/1/0755/0412/4148/files/AKDP25010218000WHITEback_94bba39b-b593-4a0c-b995-de958f04b9dc.jpg?v=1763834788,"ALPHA KAPPA DELTA PHI"
"Shop aKDPhi","Flutter Tee","Shop aKDPhi",UPI26061853486,"Shirts > Short sleeve t-shirts",https://cdn.shopify.com/s/files/1/0755/0412/4148/files/AKDP2501031717IVORY_627909ad-3580-4843-9e5d-fb128765ecba.jpg?v=1763834812,"ALPHA KAPPA DELTA PHI"
"Shop aKDPhi","Graphic Crop Tee","Shop aKDPhi",UPI26061813325,"Shirts > Short sleeve t-shirts",https://cdn.shopify.com/s/files/1/0755/0412/4148/files/AKDP2501041010SOLIDWHITEBLEND.jpg?v=1763834837,"ALPHA KAPPA DELTA PHI"
"Shop aKDPhi","Friendship Crop Tee","Shop aKDPhi",UPI26061828525,"Shirts > Short sleeve t-shirts",https://cdn.shopify.com/s/files/1/0755/0412/4148/files/AKDP2501051010SOLIDNATURALBLEND_e0456b30-6e14-42b4-b3b4-30c49e0cc29d.jpg?v=1763834723,"ALPHA KAPPA DELTA PHI"
"Shop aKDPhi","Ugly Knitted Sweater","SDT Boutique",UPI260618862225,"Apparel > Sweaters",https://cdn.shopify.com/s/files/1/0755/0412/4148/files/Front_6681e907-b1fb-469d-a61e-60a4bddb0e04.jpg?v=1763058402,"ALPHA KAPPA DELTA PHI"
"Shop aKDPhi","Noir Crewneck","Shop aKDPhi",UPI26061868205,"Sweatshirts > Crewneck sweatshirts",https://cdn.shopify.com/s/files/1/0755/0412/4148/files/AKDP26000118000BLACK_9bc34f03-f0de-4939-8ebb-8e049f396511.jpg?v=1779474695,"ALPHA KAPPA DELTA PHI"
"Shop aKDPhi","Cherry Crewneck","Shop aKDPhi",UPI26061806606,"Sweatshirts > Crewneck sweatshirts",https://cdn.shopify.com/s/files/1/0755/0412/4148/files/AKDP26000218000NATURAL.jpg?v=1779473294,"ALPHA KAPPA DELTA PHI"
"Shop aKDPhi","Love and Friendship Hoodie","Shop aKDPhi",UPI260618130011,"Sweatshirts > Hooded sweatshirts",https://cdn.shopify.com/s/files/1/0755/0412/4148/files/AKDP26000418500BLACKback.jpg?v=1779474042,"ALPHA KAPPA DELTA PHI"
"Shop aKDPhi","Bottom Line Ivory Tee","Shop aKDPhi",UPI26061877328,"Shirts > Short sleeve t-shirts",https://cdn.shopify.com/s/files/1/0755/0412/4148/files/AKDP2600051717IVORYback.jpg?v=1779474273,"ALPHA KAPPA DELTA PHI"
"Shop aKDPhi","aKDPhi White Hoodie","Shop aKDPhi",UPI26061820205,"Sweatshirts > Hooded sweatshirts",https://cdn.shopify.com/s/files/1/0755/0412/4148/files/AKDP26000718500WHITE.jpg?v=1779474561,"ALPHA KAPPA DELTA PHI"
"Shop aKDPhi","aKDPhi Repeat Crewneck","Shop aKDPhi",UPI260618408410,"Sweatshirts > Crewneck sweatshirts",https://cdn.shopify.com/s/files/1/0755/0412/4148/files/AKDP26000618000BLACK.jpg?v=1779475194,"ALPHA KAPPA DELTA PHI"
"Shop aKDPhi","aKDPhi Crewneck","Shop aKDPhi",UPI26061841005,"Sweatshirts > Crewneck sweatshirts",https://cdn.shopify.com/s/files/1/0755/0412/4148/files/AKDP26000818000BLACK.jpg?v=1779475954,"ALPHA KAPPA DELTA PHI"
"Shop aKDPhi","Cherry Heart Crewneck","Shop aKDPhi",UPI26061877644,"Sweatshirts > Crewneck sweatshirts",https://cdn.shopify.com/s/files/1/0755/0412/4148/files/AKDP26000918000NATURAL.jpg?v=1779476068,"ALPHA KAPPA DELTA PHI"
"Shop aKDPhi","Orchid Star Hoodie","Shop aKDPhi",UPI26061878606,"Sweatshirts > Hooded sweatshirts",https://cdn.shopify.com/s/files/1/0755/0412/4148/files/AKDP26001018500ORCHID.jpg?v=1779476249,"ALPHA KAPPA DELTA PHI"
"Shop aKDPhi","By My Side Crewneck","Shop aKDPhi",UPI26061864363,"Sweatshirts > Crewneck sweatshirts",https://cdn.shopify.com/s/files/1/0755/0412/4148/files/AKDP26001118000WHITE.jpg?v=1779476362,"ALPHA KAPPA DELTA PHI"
"Shop aKDPhi","Big Locket Crewneck","Shop aKDPhi",UPI26061843888,"Sweatshirts > Crewneck sweatshirts",https://cdn.shopify.com/s/files/1/0755/0412/4148/files/AKDP26001218000BLACK.jpg?v=1779476457,"ALPHA KAPPA DELTA PHI"
"Shop aKDPhi","Little Locket Crewneck","Shop aKDPhi",UPI26061897481,"Sweatshirts > Crewneck sweatshirts",https://cdn.shopify.com/s/files/1/0755/0412/4148/files/AKDP26001318000BLACK.jpg?v=1779476511,"ALPHA KAPPA DELTA PHI"
"Shop aKDPhi",Cardigan,"Shop aKDPhi",UPI26061839566,"Apparel > Sweaters",https://cdn.shopify.com/s/files/1/0755/0412/4148/files/AKDP260014M425BLACK.jpg?v=1779476688,"ALPHA KAPPA DELTA PHI"
"Shop aKDPhi","Graduation Stole","Shop aKDPhi",UPI2606294020,"Apparel > Stoles",https://cdn.shopify.com/s/files/1/0755/0412/4148/files/AKDPSTOLE2STOLE2.jpg?v=1782776803,"ALPHA KAPPA DELTA PHI"
